name,id,region,region_code,city,lat,lon
CALATABIANO,S12321,Sicilia,14,A,37.814684,15.226568
CALATAFIMI,S12151,Sicilia,14,A,37.938858,12.856156
CALBEZANO,S06080,N/A,N/A,N/A,N/A,N/A
CALCERANICA,S02307,N/A,9,A,46.007384,11.240713
CALCIANO,S11455,Basilicata,15,A,40.595117,16.202526
CALCIO,S01712,Lombardia,1,A,45.532937,9.841342
CALDE`,S01117,Lombardia,1,A,45.945812,8.663157
CALDIERO,S02437,Veneto,12,A,45.41407,11.169753
CALDONAZZO,S02308,N/A,9,A,45.997575,11.264815
CALENZANO,S06417,Toscana,13,A,43.856429,11.14537
CALITRI PESCOPAGANO,S09620,Campania,18,Calitri Pescop.,40.884932,15.427962
CALLIANO,S02041,N/A,N/A,N/A,N/A,N/A
CALOLZIOCORTE OLGINATE,S01524,Lombardia,1,Calolziocorte,45.801619,9.42698
CALOPEZZATI,S11815,Calabria,17,A,39.579022,16.819361
CALTAGIRONE,S12270,Sicilia,14,Caltagirone,37.225276,14.521165
CALTANISSETTA CENTRALE,S12381,Sicilia,14,Caltanissetta C.,37.48829,14.057396
CALTANISSETTA XIRBI,S12380,Sicilia,14,Caltanissetta X.,37.536296,14.056902
CALTIGNAGA,S00020,Piemonte,3,A,45.519167,8.591602
CALUSCO,S01503,Lombardia,1,A,45.684113,9.470646
CALUSO,S00158,Piemonte,3,A,45.303194,7.902568
CALVISANO,S01843,Lombardia,1,A,45.346572,10.349411
CAMAIORE LIDO CAPEZZANO,S06043,Toscana,13,A,43.912176,10.24765
CAMBIANO,S06804,Toscana,13,A,43.631183,10.958997
CAMBIANO SANTENA,S00456,Piemonte,3,A,44.966491,7.773225
CAMERANO ASPIO,S07021,N/A,N/A,N/A,N/A,N/A
CAMMARATA S.GIOVANNI GEMINI,S12207,Sicilia,14,A,37.653759,13.673791
CAMNAGO-LENTATE,S01316,Lombardia,1,CM Lentate,45.668425,9.133451
CAMOGLI SAN FRUTTUOSO,S04716,Liguria,2,A,44.348166,9.156743
CAMPAGNA SERRE PERSANO,S09825,Campania,18,A,40.595667,15.113986
CAMPELLO,S07219,Umbria,6,A,42.822814,12.761253
CAMPIGLIA MARITTIMA,S06031,Toscana,13,Campiglia Maritt.,43.017118,10.586558
CAMPO DI CARNE,S08706,Lazio,5,A,41.552116,12.635125
CAMPO DI GIOVE,S08903,Abruzzo,19,A,42.007967,14.041492
CAMPO DI GIOVE-MONTE MAIELLA,S08919,Abruzzo,19,A,41.993262,14.069088
CAMPO DI NUSCO,S09626,Campania,18,A,40.879143,15.129255
CAMPO DI TRENS ,S02007,N/A,9,A,46.869076,11.488231
CAMPOBASSO,S09459,Molise,7,Campobasso,41.558137,14.66393
CAMPOBELLO DI MAZARA,S12112,Sicilia,14,A,37.636256,12.733165
CAMPOBELLO RAVANUSA,S12385,Sicilia,14,A,37.265731,13.946251
CAMPODARSEGO,S02527,Veneto,12,A,45.505721,11.900894
CAMPOFELICE,S12017,Sicilia,14,A,37.992615,13.876549
CAMPOFRANCO,S12211,Sicilia,14,A,37.510105,13.686777
CAMPOLATTARO,S09505,Campania,18,A,41.285869,14.726853
CAMPOLEONE,S08602,Lazio,5,Campoleone,41.642396,12.648341
CAMPOLIETO MONACILIONI,S09462,Molise,7,A,41.642573,14.76544
CAMPOLIGURE MASONE,S04105,Liguria,2,Campoligure,44.530909,8.700878
CAMPOMAGGIORE,S11454,Basilicata,15,A,40.550772,16.086766
CAMPOMARINO,S11020,Molise,7,A,41.957398,15.042416
CAMPOMELA,S12815,Sardegna,20,A,40.68139,8.638875
CAMPOMIGLIAIO,S06659,Toscana,13,A,43.937241,11.303593
CAMPORA S.GIOV. SERRA AIELLO,S11745,Calabria,17,A,39.068402,16.09102
CAMPORE,S00889,N/A,N/A,N/A,N/A,N/A
CAMPORGIANO,S06324,Toscana,13,A,44.161448,10.334849
CAMPOSAMPIERO,S02525,Veneto,12,Camposampiero,45.568922,11.928293
CAMPOSANTO,S05314,Emilia Romagna,8,A,44.787527,11.143587
CAMUCIA CORTONA,S06921,Toscana,13,A,43.261104,11.971245
CANCELLI DI FABRIANO,S07232,N/A,N/A,N/A,N/A,N/A
CANCELLIERA,S08735,Lazio,5,A,41.710587,12.621758
CANCELLO,S09213,Campania,18,Cancello,40.993063,14.418877
CANCELLO ARNONE,S09002,Campania,18,A,41.063369,14.02901
CANDELA,S11204,Puglia,16,A,41.151439,15.533163
CANDELO,S00071,Piemonte,3,A,45.547433,8.100103
CANDIA CANAVESE,S00157,Piemonte,3,A,45.329824,7.891819
CANDIA LOMELLINA,S00333,Lombardia,1,A,45.179911,8.593156
CANDIDA,S11105,Puglia,16,A,41.346664,15.996588
CANDIOLO,S00512,Piemonte,3,A,44.961155,7.598973
CANDOGLIA ORNAVASSO,S01011,Piemonte,3,A,45.977489,8.419715
CANEGRATE,S01034,Lombardia,1,A,45.569235,8.926593
CANELLI,S00832,Piemonte,3,A,44.716716,8.294544
CANETRA,S07429,Lazio,5,A,42.391578,13.029159
CANICATTI`,S12375,Sicilia,14,Canicatti`,37.359879,13.855395
CANIGA,S12812,Sardegna,20,A,40.716116,8.526395
CANISTRO,S08812,N/A,N/A,N/A,N/A,N/A
CANNARA,S07009,Umbria,6,A,43.019591,12.628709
CANNE DELLA BATTAGLIA,S11406,Puglia,16,A,41.294583,16.146169
CANNETO SULL`OGLIO,S01848,Lombardia,1,A,45.150211,10.37147
CANOSA DI PUGLIA,S11402,Puglia,16,A,41.218556,16.053906
CANTALUPO DEL SANNIO,S09451,Molise,7,A,41.5174,14.6671
CANTU`,S01451,Lombardia,1,A,45.752316,9.130321
CANTU`- CERMENATE,S01313,Lombardia,1,A,45.716236,9.099284
CANZO,S01099,N/A,N/A,N/A,N/A,N/A
CAORSO,S01970,Emilia Romagna,8,A,45.042048,9.868157
CAPACCIO ROCCADASPIDE,S11702,Campania,18,A,40.454518,15.013551
CAPACI,S12128,Sicilia,14,A,38.171794,13.232398
CAPALBIO,S08006,Toscana,13,A,42.407974,11.370982
CAPANNELLE,S08672,Lazio,5,A,41.830713,12.568884
CAPISTRELLO,S08850,Abruzzo,19,A,41.97051,13.399276
CAPO BONIFATI,S11734,Calabria,17,A,39.558342,15.874052
CAPO DI PONTE,N00229,N/A,N/A,N/A,N/A,N/A
CAPO D`ORLANDO-NASO,S12030,Sicilia,14,A,38.157941,14.744844
CAPO SPARTIVENTO,S11858,Calabria,17,A,37.924778,16.058342
CAPOCROCE,S08804,N/A,N/A,N/A,N/A,N/A
CAPODACQUA PIEVE FANONICA,S07215,Umbria,6,A,43.026769,12.7541
CAPOLONA,S06083,N/A,N/A,N/A,N/A,N/A
CAPPELLE-MAGLIANO,S08525,Abruzzo,19,A,42.059369,13.372468
CAPRALBA,S01603,Lombardia,1,A,45.443871,9.640015
CAPRANICA,S08311,Lazio,5,A,42.245195,12.157194
CAPRAROLA,S08110,Lazio,5,A,42.303815,12.258238
CAPRIATI AL VOLTURNO,S09061,Molise,7,A,41.44279,14.070664
CAPRIOLO,S01622,Lombardia,1,A,45.64556,9.933806
CAPRIVA,S03301,Friuli-Venezia Giulia,10,A,45.938764,13.517494
CAPUA,S09208,Campania,18,A,41.101306,14.210347
CARATE-CALO`,S01486,Lombardia,1,A,45.676451,9.252304
CARAVAGGIO,S01602,Lombardia,1,A,45.491158,9.637723
CARBONA,S05120,Emilia Romagna,8,A,44.246876,11.09618
CARBONARA SCRIVIA,S04300,Piemonte,3,A,44.860173,8.853772
CARBONIA SERBARIU,S12818,Sardegna,20,Carbonia Serbariu,39.169508,8.509186
CARBONIA STATO,S12972,N/A,N/A,N/A,N/A,N/A
CARDILLO ZEN,S12140,Sicilia,14,A,38.17495,13.296897
CARENTINO,S00839,Piemonte,3,A,44.831303,8.470474
CARIATI,S11818,Calabria,17,A,39.496884,16.952018
CARIMATE,S01315,Lombardia,1,A,45.697094,9.107188
CARINI,S12127,Sicilia,14,A,38.147696,13.186624
CARINI TORRE CIACHEA,S12799,Sicilia,14,A,38.16149,13.219641
CARISIO,S00055,Piemonte,3,A,45.403164,8.21249
CARMAGNOLA,S00601,Piemonte,3,Carmagnola,44.846944,7.72797
CARMIGNANO DI BRENTA,S02532,Veneto,12,A,45.621354,11.714891
CARNATE USMATE,S01511,Lombardia,1,Carnate Usmate,45.653072,9.375089
CARNIA,S03016,Friuli-Venezia Giulia,10,A,46.373634,13.132847
CARONIA,S12025,Sicilia,14,A,38.034475,14.443761
CARONNO PERTUSELLA,S01076,N/A,N/A,N/A,N/A,N/A
CAROVIGNO,S11133,Puglia,16,A,40.737337,17.683791
CAROVILLI-ROCCASICURA,S08914,Molise,7,A,41.712485,14.299732
CARPANE`VALSTAGNA,S02502,Veneto,12,A,45.860128,11.661183
CARPI,S02349,Emilia Romagna,8,A,44.782919,10.891952
CARPIGNANO SESIA,S00971,Piemonte,3,A,45.528934,8.422898
CARPINONE,S09050,Molise,7,Carpinone,41.588038,14.326783
CARRARA AVENZA,S06005,Toscana,13,A,44.051239,10.062927
CARRITO-ORTONA,S08533,Abruzzo,19,A,42.026506,13.720179
CARRUBA,S12326,Sicilia,14,A,37.694344,15.196143
CARRU` CLAVESANA,S00738,Piemonte,3,A,44.479548,7.891414
CARSOLI,S08519,Abruzzo,19,Carsoli,42.09578,13.080388
CARUGO - GIUSSANO,S01091,N/A,N/A,N/A,N/A,N/A
CASABIANCA,S08730,Lazio,5,A,41.788327,12.60431
CASACALENDA GUARDIALFIERA,S09465,Molise,7,A,41.738109,14.849602
CASAL SABINI,S11309,Puglia,16,A,40.799021,16.647908
CASALBORDINO POLLUTRI,S07821,Abruzzo,19,A,42.193653,14.633045
CASALBUONO,S09910,Campania,18,A,40.214093,15.686095
CASALBUTTANO,S01609,Lombardia,1,A,45.255398,9.962361
CASALE MONFERRATO,S00314,Piemonte,3,Casale Monferrato,45.133928,8.460292
CASALE POPOLO,S00179,Piemonte,3,Casale Popolo,45.160434,8.44055
CASALECCHIO DI RENO,S05101,Emilia Romagna,8,A,44.474298,11.276097
CASALECCHIO GARIBALDI,S05111,Emilia Romagna,8,A,44.482995,11.272474
CASALEGGIO,S00972,Piemonte,3,A,45.491298,8.490369
CASALETTO,S09922,N/A,N/A,N/A,N/A,N/A
CASALETTO VAPRIO,S01604,Lombardia,1,A,45.408641,9.631746
CASALMAGGIORE,S01850,Lombardia,1,Casalmaggiore,44.993139,10.425023
CASALNUOVO,S09216,Campania,18,A,40.915559,14.35296
CASALPUSTERLENGO,S01827,Lombardia,1,Casalpusterlengo,45.182473,9.653627
CASANOVA KAISERAU,S02059,N/A,N/A,N/A,N/A,N/A
CASARSA,S02830,Friuli-Venezia Giulia,10,Casarsa,45.953002,12.8406
CASCINA,S06505,Toscana,13,A,43.674542,10.545225
CASELLE,S00087,N/A,N/A,N/A,N/A,N/A
CASELLE AEROPORTO,S00088,N/A,N/A,N/A,N/A,N/A
CASERTA,S09211,Campania,18,Caserta,41.068655,14.328457
CASINO DI TERRA,S06751,Toscana,13,A,43.328581,10.662975
CASLETTO-ROGENO,S01457,Lombardia,1,A,45.786028,9.275375
CASLINO AL PIANO,N00037,N/A,N/A,N/A,N/A,N/A
CASLINO D'ERBA,S01098,N/A,N/A,N/A,N/A,N/A
CASOLI,S07991,N/A,N/A,N/A,N/A,N/A
CASORATE SEMPIONE,S01029,Lombardia,1,A,45.675075,8.743954
CASORIA,S09009,Campania,18,A,40.907762,14.29874
CASSAGO-NIBIONNO-BULCIAGO,S01490,Lombardia,1,A,45.746243,9.279834
CASSANO ALL`IONIO,S11900,Calabria,17,A,39.726326,16.35218
CASSANO D`ADDA,S01707,Lombardia,1,Cassano d`Adda,45.514372,9.512746
CASSANO IRPINO,S09611,Campania,18,A,40.869227,15.031213
CASSINE,S00864,Piemonte,3,A,44.751513,8.533613
CASSINO,S08671,Lazio,5,A,41.484306,13.832125
CASSOLA,S02506,Veneto,12,A,45.732291,11.795866
CASTAGNARO,S02368,Veneto,12,A,45.119349,11.403936
CASTAGNETO CARDUCCI,S06029,Toscana,13,A,43.16816,10.56399
CASTAGNO,S05122,Toscana,13,A,44.012359,10.91538
CASTAGNOLE DELLE LANZE,S00828,Piemonte,3,Castagnole L.,44.749341,8.152836
CASTANO PRIMO,N00050,N/A,N/A,N/A,N/A,N/A
CASTEGGIO,S01942,Lombardia,1,A,45.017365,9.124595
CASTEGNATO,N00204,N/A,N/A,N/A,N/A,N/A
CASTEL BAGNOLO DI ORTE,S08114,Lazio,5,A,42.400183,12.400781
CASTEL DI SANGRO,S08910,Abruzzo,19,Castel di Sangro,41.777829,14.112049
CASTEL D`ARIO,S02382,Lombardia,1,A,45.183399,10.97531
CASTEL FRENTANO,S07987,N/A,N/A,N/A,N/A,N/A
CASTEL GANDOLFO,S08703,Lazio,5,A,41.746946,12.652266
CASTEL LAGOPESOLE,S11212,Basilicata,15,A,40.787682,15.758093
CASTEL MADAMA,S08510,Lazio,5,A,41.988389,12.864938
CASTEL S.ANGELO,S07407,Lazio,5,A,42.379666,13.017612
CASTEL S.GIORGIO ROCCAPIEMONTE,S09704,Campania,18,A,40.758713,14.692352
CASTEL S.GIOVANNI,S01948,Emilia Romagna,8,A,45.063272,9.436856
CASTEL S.PIETRO TERME,S05053,Emilia Romagna,8,A,44.407376,11.597681
CASTELBELLO,S02208,N/A,9,A,46.626994,10.897884
CASTELBOLOGNESE,S05056,Emilia Romagna,8,Castelbolognese,44.325391,11.804174
CASTELBUONO,S12020,Sicilia,14,A,38.014606,14.108578
CASTELDACCIA,S12010,Sicilia,14,A,38.060474,13.536867
CASTELDARNE ,S02105,N/A,9,A,46.797708,11.844223
CASTELDEBOLE,S05102,Emilia Romagna,8,A,44.503974,11.27456
CASTELFERRETTI,S07200,Marche,11,A,43.607303,13.357519
CASTELFIORENTINO,S06802,Toscana,13,A,43.60542,10.968048
CASTELFRANCI,S09609,Campania,18,A,40.935968,15.038655
CASTELFRANCO D'EMILIA,S05037,Emilia Romagna,8,A,44.597381,11.056408
CASTELFRANCO IN MISCANO,S09323,N/A,N/A,N/A,N/A,N/A
CASTELFRANCO VENETO,S02537,Veneto,12,Castelfranco V.,45.666439,11.934315
CASTELGUELFO,S05012,Emilia Romagna,8,A,44.836434,10.176706
CASTELLALTO CANZANO,S07901,Abruzzo,19,A,42.69564,13.793043
CASTELLAMMARE DEL GOLFO,S12120,Sicilia,14,Castellammare G.,38.024309,12.912209
CASTELLAMMARE DI STABIA,S09756,Campania,18,A,40.701398,14.483737
CASTELLANETA,S11507,N/A,N/A,N/A,N/A,N/A
CASTELLANETA MARINA,S11463,Puglia,16,A,40.481111,16.965434
CASTELLANZA,S01136,N/A,N/A,N/A,N/A,N/A
CASTELLAZZO CASALCERMELLI,S04000,Piemonte,3,A,44.843839,8.589645
CASTELLEONE,S01606,Lombardia,1,A,45.301826,9.76779
CASTELLETTO BUSCA,S00720,Piemonte,3,A,44.501319,7.463939
CASTELLETTO TICINO,S01123,Piemonte,3,A,45.710757,8.638259
CASTELLINA CH,S06808,Toscana,13,A,43.408744,11.212379
CASTELLINA MARITTIMA,S06024,Toscana,13,A,43.406122,10.495776
CASTELLINO TANARO,S00741,Piemonte,3,A,44.41657,7.974321
CASTELLO DI GODEGO,S02507,Veneto,12,A,45.688082,11.87759
CASTELLO D`ANNONE,S00465,Piemonte,3,A,44.878742,8.312724
CASTELLUCCHIO,S01923,Lombardia,1,A,45.144293,10.64749
CASTELLUCCIO,S09920,N/A,N/A,N/A,N/A,N/A
CASTELL`ALFERO,S00343,Piemonte,3,A,44.986347,8.220882
CASTELMAGGIORE,S05724,Emilia Romagna,8,A,44.576055,11.366901
CASTELNUOVO,S02093,Veneto,12,A,45.430843,10.758273
CASTELNUOVO BELBO,S00836,Piemonte,3,A,44.798127,8.42516
CASTELNUOVO BERARDENGA,S06812,Toscana,13,A,43.306882,11.484912
CASTELNUOVO DI GARFAGNANA,S06300,Toscana,13,A,44.116351,10.409054
CASTELPLANIO CUPRAMONTANA,S07204,Marche,11,A,43.481403,13.084733
CASTELRAIMONDO CAMERINO,S07302,Marche,11,A,43.210511,13.057274
CASTELROSSO,S00233,Piemonte,3,A,45.201802,7.932162
CASTELSPINA PORTANOVA,S04001,Piemonte,3,A,44.796662,8.62203
CASTELVECCHIO PASCOLI,S06302,Toscana,13,A,44.09007,10.455061
CASTELVETERE,S09608,Campania,18,A,40.952072,15.011348
CASTELVETRANO,S12113,Sicilia,14,A,37.684977,12.799552
CASTELVETRO,S01960,Emilia Romagna,8,Castelvetro,45.100095,9.982181
CASTIGLION DEL LAGO,S06923,Umbria,6,Castiglione del Lago,43.123195,12.032077
CASTIGLION FIORENTINO,S06920,Toscana,13,A,43.34075,11.914362
CASTIGLIONCELLO,S06729,Toscana,13,A,43.404619,10.414354
CASTIGLIONE COSENTINO,S11909,Calabria,17,Castiglione C.,39.35542,16.244388
CASTIGLIONE DI SICILIA,S12362,Sicilia,14,A,37.88674,15.097013
CASTIGLIONE IN TEVERINA,S08205,Umbria,6,A,42.648544,12.234913
CASTIONE ANDEVENNO,S01429,Lombardia,1,A,46.161659,9.806151
CASTIONE DEI MARCHESI,S01964,Emilia Romagna,8,A,44.915157,10.044449
CASTRO-POFI,S08663,Lazio,5,A,41.533014,13.410741
CASTRONNO,S01208,Lombardia,1,A,45.74524,8.810302
CATANIA ACQUICELLA,S12337,Sicilia,14,A,37.492765,15.074699
CATANIA CENTRALE,S12332,Sicilia,14,Catania,37.506211,15.099417
CATANIA OGNINA,S12331,Sicilia,14,A,37.534049,15.11261
CATANZARO,S11956,Calabria,17,Catanzaro,38.896222,16.599081
CATANZARO LIDO,S11833,Calabria,17,Catanzaro Lido,38.821788,16.612975
CATENANUOVA,S12244,Sicilia,14,A,37.562026,14.688263
CATTOLICA S.GIOVANNI GABICCE,S07102,Emilia Romagna,8,Cattolica,43.959931,12.745087
CAULONIA,S11846,Calabria,17,A,38.343785,16.467278
CAVA CARBONARA,S00279,Lombardia,1,Cava Carbonara,45.147055,9.071387
CAVA DEI TIRRENI,S09816,Campania,18,Cava dei Tirreni,40.703662,14.708461
CAVA MANARA,S01804,Lombardia,1,A,45.144867,9.115332
CAVA TIGOZZI,S01914,Lombardia,1,A,45.156823,9.955827
CAVAGNOLO BRUSASCO,S00423,Piemonte,3,A,45.153655,8.047534
CAVALLEGGERI AOSTA,S09113,Campania,18,A,40.819292,14.185679
CAVALLERMAGGIORE,S00603,Piemonte,3,Cavallermaggiore,44.708147,7.692108
CAVANELLA D`ADIGE,S05425,Veneto,12,A,45.111263,12.249312
CAVANELLA PO,S05422,Veneto,12,A,45.052208,12.134893
CAVARIA OGGIONA JERAGO,S01210,Lombardia,1,A,45.698145,8.8035
CAVAZZALE,S02147,Veneto,12,A,45.596079,11.569823
CAVI,S04724,Liguria,2,A,44.29354,9.37251
CAZZAGO S. MARTINO,N00238,N/A,N/A,N/A,N/A,N/A
CA` DI BOSCHETTI,S06044,Liguria,2,A,44.117925,9.857449
CECCANO,S08664,Lazio,5,A,41.573583,13.336417
CECCHINA,S08732,Lazio,5,A,41.692029,12.650992
CECINA,S06026,Toscana,13,Cecina,43.31028,10.514225
CEDEGOLO,N00231,N/A,N/A,N/A,N/A,N/A
CEFALU`,S12019,Sicilia,14,Cefalu`,38.03285,14.019526
CEGGIA,S02665,Veneto,12,A,45.688394,12.633987
CELANO-OVINDOLI,S08528,Abruzzo,19,A,42.076999,13.543398
CELLE,S04530,Liguria,2,A,44.34246,8.542626
CELLE BULGHERIA ROCCAGLORIOSA,S11716,Campania,18,A,40.10287,15.39473
CENGIO,S00745,Liguria,2,A,44.390798,8.191824
CENTALLO,S00608,Piemonte,3,A,44.496223,7.591035
CENTOLA,S11715,Campania,18,A,40.090672,15.34674
CEPRANO-FALVATERRA,S08666,Lazio,5,A,41.523962,13.523481
CERBERE,S78500,N/A,N/A,N/A,N/A,N/A
CERCENASCO,S00541,Piemonte,3,A,44.864897,7.495302
CERCHIO,S08530,Abruzzo,19,A,42.061082,13.597972
CERCINA,S06956,Toscana,13,A,43.900121,11.265279
CERDA,S12200,Sicilia,14,A,37.953964,13.78447
CEREA,S02364,Veneto,12,Cerea,45.196556,11.213921
CEREGNANO,S05417,Veneto,12,A,45.05062,11.870958
CERIALE,S04517,Liguria,2,A,44.098922,8.234216
CERIANO LAGHETTO SOLARO,N00248,N/A,N/A,N/A,N/A,N/A
CERIGNOLA,S11103,Puglia,16,A,41.315664,15.897298
CERLANO LAGHETTO,S01934,N/A,N/A,N/A,N/A,N/A
CERNUSCO-MERATE,S01513,Lombardia,1,A,45.695096,9.396794
CERRETO D`ESI,S07300,Marche,11,A,43.32205,12.98319
CERTALDO,S06803,Toscana,13,A,43.547124,11.037711
CERTOSA DI PAVIA,S01803,Lombardia,1,A,45.256927,9.154456
CERVARO,S11200,Puglia,16,Cervaro,41.397604,15.595704
CERVIA-MILANO MARITTIMA,S05814,Emilia Romagna,8,A,44.258444,12.347096
CERVIGNANO A.G.,S03207,Friuli-Venezia Giulia,10,Cervignano,45.823948,13.342866
CERVIGNASCO,S00546,Piemonte,3,A,44.699669,7.518644
CERVINARA,S09015,N/A,N/A,N/A,N/A,N/A
CERVO SAN BARTOLOMEO,S04512,Liguria,2,A,43.923901,8.109704
CESANO BOSCONE,S01112,N/A,N/A,N/A,N/A,N/A
CESANO DI ROMA,S08319,Lazio,5,Cesano,42.061833,12.326669
CESANO MADERNO,S01086,N/A,N/A,N/A,N/A,N/A
CESATE,S01075,N/A,N/A,N/A,N/A,N/A
CESE,S09473,Campania,18,A,41.210883,14.787329
CESENA,S05066,Emilia Romagna,8,Cesena,44.145449,12.24964
CESENATICO,S05815,Emilia Romagna,8,A,44.20065,12.391186
CETO - CERVENO,N00228,N/A,N/A,N/A,N/A,N/A
CETRARO,S11735,Calabria,17,A,39.512553,15.939263
CEVA,S00742,Piemonte,3,Ceva,44.389861,8.031958
CHAMBAVE,S00141,Valle d'Aosta,4,A,45.744163,7.557301
CHATILLON SAINT VINCENT,S00142,Valle d'Aosta,4,A,45.7434,7.619309
CHERASCO,S00733,Piemonte,3,A,44.65261,7.867211
CHIANCHE CEPPALONI,S09510,Campania,18,A,41.050122,14.777618
CHIARAVALLE,S07201,Marche,11,A,43.595503,13.327655
CHIARI,S01713,Lombardia,1,A,45.54011,9.926474
CHIARONE,S08007,Toscana,13,A,42.387528,11.446123
CHIASSO,S01301,Lombardia,1,Chiasso,45.830736,9.03421
CHIAVARI,S04722,Liguria,2,A,44.315156,9.322464
CHIAVENNA,S01400,Lombardia,1,Chiavenna,46.321258,9.407129
CHIERI,S00500,Piemonte,3,Chieri,45.007008,7.827077
CHIETI,S07712,Abruzzo,19,Chieti,42.356905,14.13815
CHIEUTI SERRACAPRIOLA,S11021,Puglia,16,Chieuti Serrac.,41.921962,15.156645
CHIGNOLO PO,S01868,Lombardia,1,A,45.160942,9.494196
CHIOGGIA,S05428,Veneto,12,Chioggia,45.210243,12.275235
CHIOMONTE,S00206,Piemonte,3,A,45.119876,6.988716
CHIRIALZA,S12899,Sardegna,20,A,40.830877,9.36732
CHIUDUNO,S01536,Lombardia,1,A,45.650449,9.846924
CHIURO,S01435,Lombardia,1,A,46.164658,9.992317
CHIUSA ,S02017,N/A,9,A,46.642611,11.572678
CHIUSANO COSSOMBRONE,S00429,Piemonte,3,A,44.985034,8.128822
CHIUSI C.T.,S06925,Toscana,13,Chiusi C.T.,43.002466,11.957893
CHIVASSO,S00232,Piemonte,3,Chivasso,45.193637,7.889666
CIAMPINO,S08650,Lazio,5,Ciampino,41.804442,12.599546
CIARDES,S02209,N/A,9,A,46.635274,10.940542
CINISI TERRASINI,S12126,Sicilia,14,Cinisi Terrasini,38.155314,13.096673
CIRE',S00090,N/A,N/A,N/A,N/A,N/A
CIRELLA MAJERA`,S11730,Calabria,17,A,39.708556,15.812289
CIRO',S11820,Calabria,17,A,39.368701,17.116997
CISANO CAPRINO BERGAMASCO,S01525,Lombardia,1,A,45.739606,9.474261
CISLAGO,N00015,N/A,N/A,N/A,N/A,N/A
CISMON DEL GRAPPA,S02500,Veneto,12,A,45.919664,11.729272
CISTERNA DI LATINA,S08603,Lazio,5,A,41.586511,12.827538
CISTERNINO,S11131,Puglia,16,A,40.816652,17.456899
CITERNA TARO,S06154,Emilia Romagna,8,A,44.63548,10.032939
CITTADELLA,S02535,Veneto,12,Cittadella,45.643868,11.789857
CITTADUCALE,S07406,Lazio,5,A,42.387764,12.94269
CITTA` DELLA PIEVE,S08200,Umbria,6,Citta` della Pieve,42.936221,11.971127
CITTIGLIO,N00032,N/A,N/A,N/A,N/A,N/A
CIVATE,S01462,Lombardia,1,A,45.831295,9.352877
CIVIDALE,S03056,N/A,N/A,N/A,N/A,N/A
CIVIDATE - MALEGNO,N00225,N/A,N/A,N/A,N/A,N/A
CIVITA CASTELLANA,S08211,Lazio,5,A,42.346593,12.453821
CIVITA D`ANTINO-MORINO,S08853,Abruzzo,19,A,41.870632,13.458868
CIVITANOVA MARCHE,S07506,Marche,11,Civitanova,43.3091,13.7257
CIVITAVECCHIA,S08010,Lazio,5,Civitavecchia,42.088287,11.79815
CIVITAVECCHIA M.MA,S08012,Lazio,5,A,42.099843,11.78438
CIVITAVECCHIA VIALE DELLA VITTORIA,S08024,Lazio,5,A,42.086518,11.800599
CIVITELLA - BADIA AL PINO,S06066,N/A,N/A,N/A,N/A,N/A
CIVITELLA PAGANICO,S06822,Toscana,13,A,42.94028,11.283536
CIVITELLA ROVETO,S08852,Abruzzo,19,A,41.916419,13.424882
CIXERRI,S12970,Sardegna,20,A,39.26982,8.578934
CLASSE,S05812,Emilia Romagna,8,A,44.382033,12.234995
COCCAGLIO,S01540,Lombardia,1,A,45.560971,9.977648
COCCONATO,S00425,Piemonte,3,A,45.082926,8.070145
COCQUIO - TREVISAGO,N00030,N/A,N/A,N/A,N/A,N/A
COCULLO,S08534,Abruzzo,19,A,42.040723,13.776636
CODIGORO,S05799,N/A,N/A,N/A,N/A,N/A
CODOGNO,S01828,Lombardia,1,Codogno,45.154897,9.701376
CODOLA,S09703,Campania,18,Codola,40.767687,14.665622
CODROIPO,S02831,Friuli-Venezia Giulia,10,A,45.9657,12.976543
COGNO - ESINE,N00224,N/A,N/A,N/A,N/A,N/A
COGOLETO,S04532,Liguria,2,A,44.389762,8.643906
COLDRANO-MARTELLO,S02206,N/A,9,A,46.618902,10.821204
COLFELICE,S08820,N/A,N/A,N/A,N/A,N/A
COLICO,S01420,Lombardia,1,Colico,46.138019,9.375222
COLLARMELE,S08548,N/A,N/A,N/A,N/A,N/A
COLLE ISARCO ,S02005,N/A,9,A,46.937951,11.441336
COLLE MATTIA,S08651,Lazio,5,A,41.832756,12.728329
COLLE VAL D`ELSA,S06840,Toscana,13,Colle Val d`Elsa,43.421908,11.127681
COLLECCHIO,S06151,Emilia Romagna,8,A,44.755339,10.21228
COLLEDIMEZZO,S07994,N/A,N/A,N/A,N/A,N/A
COLLEFERRO-SEGNI-PALIANO,S08657,Lazio,5,A,41.740062,13.00299
COLLEGNO,S00217,Piemonte,3,A,45.078854,7.574131
COLLESALVETTI,S06018,Toscana,13,A,43.586586,10.470534
COLLEVECCHIO,S08221,Lazio,5,A,42.298089,12.520546
COLLI DI MONTE BOVE,S08520,Abruzzo,19,A,42.097103,13.15057
COLMEGNA,S01111,N/A,N/A,N/A,N/A,N/A
COLOGNE,S01539,Lombardia,1,A,45.576627,9.935316
COLONNA GALLERIA,S08653,N/A,N/A,N/A,N/A,N/A
COLORNO,S01852,Emilia Romagna,8,A,44.927943,10.382935
COMIGNAGO,S00050,Piemonte,3,A,45.714296,8.566362
COMISO,S12411,Sicilia,14,A,36.947184,14.60037
